Designator,Mid X,Mid Y,Layer,Rotation
"C1",105.000,-126.475,top,0.000
"D1",93.000,-121.475,top,-90.000
"R1",93.000,-117.475,top,-90.000
"R2",90.500,-93.475,top,-90.000
"R3",90.500,-104.475,top,90.000
"R4",90.500,-108.475,top,-90.000
"R5",90.500,-119.475,top,90.000
"R6",90.500,-123.475,top,-90.000
"R7",90.500,-134.475,top,90.000
"R8",90.500,-138.475,top,-90.000
"R9",90.500,-149.475,top,90.000
"R10",114.500,-149.475,top,90.000
"R11",114.500,-138.475,top,-90.000
"R12",114.500,-134.475,top,90.000
"R13",114.500,-123.475,top,-90.000
"R14",114.500,-119.475,top,90.000
"R15",114.500,-108.475,top,-90.000
"R16",114.500,-104.387,top,90.000
"R17",114.500,-93.475,top,-90.000
"SW1",102.500,-140.475,top,0.000
"T1",84.500,-98.975,top,90.000
"T2",84.500,-113.975,top,90.000
"T3",84.500,-128.975,top,90.000
"T4",84.500,-143.975,top,90.000
"T5",120.500,-143.975,top,-90.000
"T6",120.500,-128.975,top,-90.000
"T7",120.500,-113.975,top,-90.000
"T8",120.500,-98.975,top,-90.000
"U1",94.245,-93.475,top,0.000
